cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.00,0.00,failed,0,CA,CAD,2020-02-13,2021-03-01,cat01,scat01
1621,3765,Odom Inc,Managed bottom-line architecture,1400.00,14560.00,successful,158,US,USD,2021-01-25,2021-05-25,cat02,scat02
1812,4187,"Melton, Robinson and Fritz",Function-based leadingedge pricing structure,108400.00,142523.00,successful,1425,AU,AUD,2020-12-17,2021-12-30,cat03,scat03
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200.00,2477.00,failed,24,US,USD,2021-10-21,2022-01-17,cat02,scat02
1365,2199,Larson-Little,Proactive foreground core,7600.00,5265.00,failed,53,US,USD,2020-12-21,2021-08-23,cat04,scat04
2057,5650,Harris Group,Open-source optimizing database,7600.00,13195.00,successful,174,DK,DKK,2020-12-11,2021-08-29,cat04,scat04
1894,5889,"Ortiz, Coleman and Mitchell",Operative upward-trending algorithm,5200.00,1090.00,failed,18,GB,GBP,2020-07-31,2021-05-11,cat05,scat05
2669,4842,Carter-Guzman,Centralized cohesive challenge,4500.00,14741.00,successful,227,DK,DKK,2020-12-22,2021-09-21,cat04,scat04
1114,3280,Nunez-Richards,Exclusive attitude-oriented intranet,110100.00,21946.00,live,708,DK,DKK,2020-04-08,2021-03-10,cat04,scat04
970,5468,"Rangel, Holt and Jones",Open-source fresh-thinking model,6200.00,3208.00,failed,44,US,USD,2021-08-13,2021-08-31,cat02,scat06
2340,3064,Green Ltd,Monitored empowering installation,5200.00,13838.00,successful,220,US,USD,2020-07-11,2021-08-02,cat05,scat07
601,4904,"Perez, Johnson and Gardner",Grass-roots zero administration system engine,6300.00,3030.00,failed,27,US,USD,2020-08-11,2021-06-26,cat04,scat04
