,subcategory_id,subcategory
0,scat01,food trucks
1,scat02,rock
2,scat03,web
3,scat04,plays
4,scat05,documentary
5,scat06,electric music
6,scat07,drama
7,scat08,indie rock
8,scat09,wearables
9,scat010,nonfiction
10,scat011,animation
11,scat012,video games
12,scat013,shorts
13,scat014,fiction
14,scat015,photography books
15,scat016,radio & podcasts
16,scat017,metal
17,scat018,jazz
18,scat019,translations
19,scat020,television
20,scat021,mobile games
21,scat022,world music
22,scat023,science fiction
23,scat024,audio
